Age,Attendance_Freq,Monthly_Spend,Member_Status
56,22,78.50160535789485,1
69,15,92.76196087582547,0
46,3,88.5888073673999,0
32,29,97.16163778161669,1
60,10,80.80752627504778,1
25,29,55.383900990472824,0
38,29,44.956159239610436,1
56,29,45.659419235050194,1
36,23,77.95381380912936,0
40,22,79.66696096247715,0
28,8,36.02873148389701,1
28,22,89.44982507924249,1
41,2,77.19392321617981,0
53,18,65.0200229074706,1
57,7,57.72259680820102,1
41,4,63.45862446319665,1
20,3,32.73965906234116,1
39,23,36.29609994210193,1
19,5,27.293159232495334,1
41,1,32.29264305288901,1
61,19,56.29549076842261,1
47,27,62.42835149826049,1
55,10,21.42895139826555,1
19,3,83.7438262291222,0
38,14,43.53343786747823,1
50,5,92.94688279679289,1
29,21,97.40090108910222,0
39,16,34.83670997413235,1
61,29,56.96778326125285,1
42,23,20.098546813314073,0
66,5,67.86618120979415,1
44,18,68.5845158610137,0
59,29,39.803196448270015,0
45,24,64.67301380665583,1
33,1,38.04321139549884,0
32,14,32.866037526255205,1
64,10,72.12155734418118,1
68,7,46.07403711616599,1
61,25,67.2211151108498,1
69,18,54.65973991773245,0
20,12,98.74811259223232,1
54,11,31.96645141340526,0
68,4,57.16788773086481,1
24,5,74.43653010874601,1
38,25,51.64360671039749,0
26,21,97.9759881496552,1
56,3,77.7510102341548,1
35,18,72.55870860515944,1
21,19,80.56474140889787,1
42,0,96.21189104309737,0
31,19,92.62549223877122,1
67,16,77.94282465011295,0
26,11,79.93293112810264,1
43,14,31.673765922811636,1
19,0,28.223392359413253,1
37,25,65.67236014753314,1
45,13,21.469410955243198,0
64,5,58.58851052412732,1
24,4,36.827966393509485,1
61,29,47.68132541158717,0
25,10,82.06437886343649,1
64,3,95.29900033859091,0
52,12,25.79330177170732,1
31,10,62.73937647811561,1
34,2,90.602678865568,1
53,0,26.600682755233702,0
67,5,85.96112375174671,1
57,17,48.62410807426171,1
21,23,45.76757617754683,1
19,9,98.19731090518286,1
23,4,36.06872718898353,1
59,22,75.45551526581448,1
21,9,85.71525824078931,1
46,11,23.294679622341732,1
35,1,73.63083666835297,1
43,12,96.12399794842615,1
61,7,29.93759733824475,1
51,1,91.69770421480307,1
27,19,67.5821309901549,0
53,0,69.32836654899792,0
31,4,69.03553398924848,0
48,8,43.906870906985105,0
65,16,94.81614522395677,1
32,8,95.7880370104831,1
25,10,70.02437281711582,1
31,14,82.67381807532917,1
40,23,68.98063887049264,1
57,5,58.75187580592325,1
38,22,72.86560946394005,1
33,2,64.24011620735668,1
62,29,67.7980690105544,1
35,16,82.70660427350896,0
64,4,58.47230651591879,1
41,29,23.26032848739782,1
43,27,33.11995847915978,1
42,11,55.08857731916307,0
62,17,77.98612478992467,1
58,13,67.46229186481429,1
46,20,72.02353486987631,0
32,23,58.34231428610298,1
62,10,69.25936175537942,1
18,8,46.321395025172976,1
42,1,57.614607415733204,0
24,11,79.54232524759645,1
26,2,89.7466223178497,1
41,2,54.69242671651111,1
18,0,23.492932616588895,0
61,7,32.93380353174421,1
25,21,21.668891143323048,1
41,27,72.2610415389864,1
28,28,46.58517002840871,1
68,7,63.3982908575494,0
34,10,59.46214774270396,1
25,8,26.522119164194137,0
52,4,52.260908889906545,1
52,13,37.64488999378586,0
50,27,53.47198309341222,1
22,29,36.28626242737941,1
59,2,87.23619250215468,1
56,20,33.93546692626029,0
58,4,96.86244411895815,1
45,4,53.27258929175527,0
24,18,87.69962336152395,1
26,26,70.30118545647561,1
25,13,78.82802389326021,1
29,25,81.41791104534242,1
51,29,60.38759055144142,1
50,3,63.46404186906307,0
65,24,61.119669424697996,1
40,12,67.04467024720634,1
41,9,22.35155566052058,1
54,24,51.64121358792122,0
52,17,68.49509708489373,1
61,7,67.81788522046915,1
57,7,83.43648756845053,1
39,6,72.40074710656869,1
44,7,99.37066530725379,1
52,13,42.7083622886916,0
18,18,48.73208237329852,0
52,28,50.707772149423704,1
54,5,57.26502456161988,0
64,0,86.87984510249676,1
31,22,38.86336751673679,1
20,14,82.08001656283436,0
18,0,52.424814646859474,0
22,24,68.14843069296069,0
43,16,70.60324265810449,1
31,0,49.827890975114755,1
56,14,61.00921641646441,1
44,22,53.04249397181576,1
26,1,25.530622894929557,0
32,13,54.97323110534612,1
32,20,27.791471404284174,0
43,7,52.40166392642572,1
59,7,67.43347198654254,1
30,18,66.35319194748007,1
68,6,73.00970232066562,1
49,18,27.6209206363701,1
56,5,72.16985964243503,1
66,5,44.97184453571577,1
69,2,51.923675690968885,0
49,6,88.63890031381646,1
21,18,20.722432330364022,0
47,7,67.07301066724844,0
54,9,67.89711840800861,1
40,19,51.73278210748496,1
56,14,38.962228568666895,1
62,14,38.77392306092409,1
32,28,90.69677357286021,1
60,0,55.3619499026286,0
46,19,46.471149039133756,0
53,29,55.90220590651224,1
30,6,73.5512321167489,1
49,26,31.660525459580136,1
24,3,55.954706817099016,1
68,28,67.03074968883095,0
39,5,95.8866683881147,1
45,24,40.20222256603354,1
19,0,48.74005983329965,0
59,28,50.3486871937939,1
62,4,68.44305261159063,1
23,26,48.538564243200135,0
45,22,62.680954023975644,1
45,0,82.54322638760235,1
61,29,76.43084752897629,0
61,3,55.70949172100684,1
37,21,89.13729421393352,0
47,1,64.65121996750904,1
28,9,63.192467160177,1
45,4,22.735021275132652,1
42,26,98.93543842857292,1
56,9,29.83766468237014,1
50,0,38.49047299421173,1
18,21,24.135746979322157,1
44,5,71.20023734695309,0
69,12,37.9760941578144,1
30,14,34.40083499781788,1
58,3,27.08444673785931,1
20,12,28.264716569921255,0
56,23,66.7736560354071,1
23,19,75.05662926932763,1
25,23,51.79031907715208,1
44,14,58.39176652736586,1
26,28,74.87741887863874,0
54,7,21.390383214838373,1
50,4,45.850452565622284,1
68,28,97.84781984562771,0
59,14,66.40897837563745,1
61,3,40.33796639179946,1
41,11,61.73840373089705,0
32,12,47.41227904967323,1
49,1,62.57959910610393,1
49,26,30.059320944531905,1
41,18,30.61717230554219,0
58,18,31.483388963151427,1
69,3,95.18558335414734,1
66,3,78.63191346730734,1
66,25,32.99055157298567,1
69,10,35.06792670124811,1
29,26,78.46635798967012,1
56,4,32.49310758337391,1
19,19,38.76490346678629,1
20,10,97.06774662563193,1
66,29,40.42452197827455,1
54,9,72.93058802969173,1
66,7,98.29050299204243,1
34,5,49.943741371183414,1
66,5,21.401279268964977,1
19,7,39.53178323378994,1
19,22,86.47017530733643,1
45,14,89.16870687640294,1
40,25,81.4815491619033,1
54,13,29.04878552612584,1
49,10,83.64082973571226,0
50,11,93.49422375948035,0
18,25,68.04876340369889,1
36,12,95.27002850704518,0
19,7,86.1471106969502,0
61,29,73.35772135927257,1
43,17,66.17481893693986,0
49,24,47.88589337935764,0
23,0,32.74299561942441,1
49,14,68.39631381524327,0
21,7,45.44892428944956,1
28,27,89.31509340221163,1
34,10,99.46695498869028,1
55,11,80.19422100924581,0
41,11,27.238535622964058,1
22,3,43.09484764245105,1
69,15,28.728770541259976,1
51,3,72.04093182333726,1
23,4,81.21526916446277,1
39,23,94.05398647045695,1
28,4,55.053787712959014,1
65,7,92.11005196707555,1
33,9,90.2312927233062,1
50,16,45.375657341231886,1
26,27,89.51205004324568,0
23,25,50.05378015053812,1
33,8,43.74954196482246,0
46,21,71.92597270355145,0
20,18,46.27049823080648,0
37,28,70.41669986633153,1
53,13,68.78654443989556,1
36,7,65.07511418787671,0
43,8,50.433576338623816,0
20,21,63.87997773211814,1
36,10,67.71883799883372,1
37,22,63.654951079637875,1
49,0,55.55355622009613,1
24,13,21.173364563701107,1
69,4,66.96493661609207,0
58,20,33.47555081141757,1
50,25,71.40607751577517,1
57,13,80.74754623382928,0
56,3,60.03562473045932,1
35,21,63.389093198379065,0
57,22,96.1182847732793,1
18,24,87.77338890980593,1
28,0,93.1389212761176,1
45,21,85.10130306556691,1
42,22,28.713467347738515,1
67,18,31.91934847761558,0
40,7,62.12990378151677,0
48,14,39.68557270383986,1
47,20,58.13563800329273,1
59,14,51.54922590546802,0
52,8,63.953139074436265,1
24,20,79.75005729086581,0
33,8,77.23927256794195,1
43,9,61.69873059882675,0
65,19,85.79147350536465,1
69,24,54.46896732304267,1
66,20,91.7371431872098,0
19,25,25.70242160441311,1
18,8,96.3728024026646,1
65,2,72.37544651450786,0
29,19,50.40596071497642,0
22,24,35.77233012583019,0
54,25,58.334658355487996,0
49,10,35.56466585482408,1
26,5,33.30652861945137,1
58,1,69.38814059303795,1
52,6,61.846777966542774,0
36,17,73.60768276887534,0
65,26,94.36847019375914,0
33,1,62.58081706712321,1
20,26,66.47456426102381,1
37,16,27.17010713239537,0
41,10,77.41086287269036,1
50,26,51.9924165443325,1
41,11,98.1380190930063,1
69,26,85.85392124765282,1
28,18,61.79848324128947,1
66,21,29.857812333773282,1
25,23,88.75326346244714,1
53,24,83.98248763392174,1
55,6,34.76681036296264,0
57,19,43.622263137624806,1
37,5,83.47258065182699,0
52,20,34.81827572379277,1
65,23,93.42019913371018,0
42,0,53.96219401570895,1
52,16,26.96311700701269,1
42,28,85.25989148034247,1
46,10,49.88077464307101,0
35,21,62.11993553230248,1
63,25,28.984347552897532,1
35,27,20.20672118759859,1
19,17,71.0388164634638,0
52,20,61.21401362669853,1
33,16,67.48308552985178,0
58,6,83.4995080304413,0
53,16,71.72847307382881,1
50,19,33.98187542619017,1
21,8,48.861801528847984,1
50,16,92.47128838302083,1
31,19,81.59557602013432,1
38,21,64.53096463493738,1
65,21,40.451599824741784,1
37,27,44.164840146783604,1
25,28,78.55664540685076,0
24,7,88.09394086822167,1
20,16,73.71397356244915,1
34,6,84.76239806147534,0
50,0,81.33249081603248,1
65,12,31.97631743655662,1
29,29,53.91558503306416,1
68,22,32.23870406628501,1
39,18,38.81884678415879,1
39,26,89.5407699720842,1
63,23,57.83135725065457,1
47,18,62.82864814741287,1
55,29,34.27567721822177,1
55,29,44.98174288390368,0
62,28,38.4196934742296,0
68,16,36.49489316147411,1
25,12,71.0368634652776,1
44,28,40.55070781165718,1
44,29,70.56123888163347,1
51,15,24.676369128684314,0
38,7,31.34195148216815,0
47,18,41.96322032001003,1
50,17,67.76375335165534,0
45,0,74.06729960699008,0
64,13,55.417357342362166,0
50,18,55.663273166178314,1
22,14,77.96134811188945,1
65,17,21.265687341246597,0
36,1,47.28720195793764,1
21,21,85.49656456953862,1
52,27,68.25755281706978,1
66,16,46.97817062043363,0
34,17,92.4419833863739,1
61,29,81.80981819595061,1
45,5,41.191635778938675,1
47,18,71.62318700205735,1
46,3,67.66005825511654,0
63,0,52.09503312311861,1
23,7,49.35648633638405,1
52,28,47.48483798205632,0
58,22,69.37246267165175,1
54,6,55.39279491845356,0
41,2,86.54904906011376,1
46,9,73.56820929071695,1
66,9,25.59452845675473,1
63,18,71.21345790625328,1
48,13,41.691794920014786,1
52,1,67.42495933227381,1
50,27,74.41055448827612,1
69,0,38.466335132320964,1
38,22,56.54869159042949,1
49,22,35.22598902552542,0
40,27,24.187110062920667,1
50,17,50.278113878869526,1
20,6,49.03554174767936,0
35,28,99.63843925634056,1
42,7,55.70818809581137,1
59,0,46.68556395777603,0
48,24,66.43800053733398,1
20,22,27.101391528621477,1
57,2,96.93325887638505,1
63,23,70.79680364728264,0
41,22,80.38702559526783,0
67,26,33.638235053913405,1
49,28,52.758228240416315,1
64,7,53.81512907169516,1
39,21,85.74451551208695,1
40,24,20.098934380752755,0
19,14,44.06824866826041,1
44,4,98.4989099475443,0
59,2,57.990923480497486,1
19,18,50.60210241952066,1
43,0,29.586320161411706,1
34,27,97.93317029024125,1
57,14,21.602108474065957,0
50,7,78.97441800057945,1
26,1,81.48798438308067,1
60,2,39.49253728510933,1
65,23,73.72467548904298,0
56,13,27.434331550351196,1
46,23,40.56378131456639,1
59,13,83.0321590633812,0
43,10,89.17489536268322,1
52,15,68.67891301278331,1
67,3,60.54707454563861,1
42,19,32.744321649518426,0
41,4,25.048722646332013,0
30,21,29.411922277884692,0
24,20,38.1885840076879,1
53,13,47.333960151753665,1
62,22,50.472762040878976,0
37,15,47.705741487120285,1
18,17,39.12442657578125,1
25,6,60.77793974013585,0
63,9,86.02288865863174,1
33,6,42.37628307771834,1
31,0,95.39096152817865,1
29,22,89.86693293790782,1
68,20,32.94113690816877,0
40,18,82.90207654056756,1
32,15,65.96699058542133,1
45,28,65.32602897371348,1
51,18,51.283421044653956,1
19,3,60.09223993456078,1
49,28,51.77430219433688,1
40,27,63.178609500795424,1
39,17,70.23600422181087,1
68,1,73.94430451272387,1
42,0,62.59849540475409,1
39,14,77.71376538629853,0
39,4,31.302243942040462,0
66,19,36.958599272179086,0
69,10,85.49880032594162,1
59,9,45.80223822771322,1
23,1,21.831505998089618,1
32,2,32.303291973442484,1
60,22,37.8891547597049,1
54,22,96.58583103156698,0
50,11,65.84331431446795,1
25,19,94.61845923810039,1
61,4,66.01306803973,1
61,4,58.34835521102814,0
22,5,45.09821529552768,1
56,29,68.50967555467005,1
21,8,31.135841969402385,1
23,1,91.86093018341649,1
62,20,86.3465924113027,1
49,11,45.40251583013897,0
69,2,96.22380220810355,1
47,19,86.01606139324545,1
64,25,73.30455086680317,1
52,21,29.740952890021983,1
57,11,58.258721843845784,1
69,23,60.48860438774007,0
33,16,38.604108669230406,1
30,9,26.397231548744156,1
67,29,82.13789043773542,1
59,23,29.7628041699516,0
47,26,67.54326004494197,1
36,13,94.91593391069284,1
34,22,90.0884154078434,1
36,16,42.22020989994089,1
45,17,88.11589100410123,1
43,18,20.02660048963915,1
54,16,21.41502476906058,0
43,13,68.2042531074292,1
40,8,49.18385753156236,1
26,7,50.91686729273177,1
29,1,65.1552872543106,1
18,12,35.342596447348846,0
18,24,36.940428053238264,0
64,6,58.768126961509175,1
51,8,80.34028354750905,1
49,21,69.55982011260701,1
65,21,43.78840385894711,1
42,10,54.426974200713694,1
57,13,33.65318068399987,1
62,3,25.970385146966535,1
18,25,82.61568325953193,1
33,25,41.230992735055565,1
56,28,34.221311028099855,1
22,12,75.32944444554555,0
39,1,69.44413394297487,1
46,22,70.65517008107713,1
20,4,38.31156838772909,1
29,10,38.61164308501448,1
43,5,37.66421038285113,1
33,17,33.90020765298356,1
68,20,72.4578938049325,0
54,9,87.84127081995211,1
39,3,77.9453975741329,1
46,8,83.36749070084346,1
31,5,52.383874326815985,1
45,1,72.32606362975986,0
22,16,48.33889923558196,1
64,4,62.0403697574912,1
66,24,58.530787722788986,1
47,5,34.15097161150835,1
63,25,50.966300826850464,1
69,11,97.10578203858807,0
22,22,39.88642061719537,1
29,20,30.7042989023591,1
33,9,53.486449729914824,0
43,21,83.22701886881185,0
43,20,66.57185838239778,0
65,26,74.47798617905957,0
38,24,35.17558785397418,1
56,5,69.51585544061771,1
53,26,45.8800315929179,1
50,7,86.7442692763814,1
47,1,70.3439044808589,1
54,11,35.90850222202367,1
40,12,25.16933438752689,1
27,24,23.41065674296262,1
22,20,49.71268541201126,1
53,6,41.268090932345075,1
51,9,71.68720987700064,1
69,12,59.94670679828946,0
48,16,41.281542240430454,1
27,25,31.93902223601409,1
36,20,30.17598101499597,1
49,27,89.17283137123341,1
18,29,39.47823747238938,1
22,25,72.13685183287747,1
62,13,84.8548742389013,1
21,1,69.12650489477889,1
33,27,88.76521853175566,1
41,21,51.39149772227796,1
33,10,96.49777525191587,1
19,0,30.651600334247753,0
66,18,28.171962372603048,1
45,20,72.69537169659549,0
49,3,95.42649131306094,1
44,18,84.71067693090625,1
37,25,26.113348755044115,0
41,28,42.34941711477731,0
29,20,94.4255107870259,1
67,10,40.24467462406277,1
52,7,82.49363390295355,0
50,10,86.0105756742963,1
50,3,59.63616827687854,0
68,16,50.90791278786524,1
60,26,56.00995459358077,1
54,6,38.15717554922913,1
29,7,91.15127329030754,1
20,2,56.04957253838063,1
18,21,90.59675523648798,1
50,1,28.455478392501927,0
57,22,99.0620216800105,0
27,14,55.46184699548946,0
60,23,23.826465631528436,1
61,21,23.041747858996395,0
46,21,79.69658059854709,1
30,4,72.72284273629447,1
29,23,84.170444650207,1
48,0,28.429402716224477,1
63,25,22.845669362843868,1
19,3,60.68634315580628,1
68,14,51.00761851862156,1
67,19,56.95575493367646,1
52,18,99.32707270962192,1
40,2,97.65999661365362,0
34,19,95.38523117385543,1
43,10,82.7074141414139,1
25,16,48.38730882055123,0
46,29,52.97047442102173,1
43,26,63.969283497513956,0
27,12,86.44275651238719,1
43,10,25.49702660146142,0
51,1,53.94375087079105,1
68,8,26.609413076741497,1
58,25,61.17260692588093,1
24,1,91.91206592049883,1
21,20,82.59879396511504,1
67,8,38.2273934034488,1
62,8,98.07926796790339,0
28,7,73.38803184371427,1
46,16,20.834215951792245,1
53,0,40.43307877481756,1
42,24,40.85706399359332,1
38,28,25.540344502868795,1
53,10,96.78612144607432,1
27,7,58.2604235660739,1
54,9,91.66516778975056,1
26,24,45.777240275570264,0
41,6,30.01868563462617,0
52,2,57.94688879249711,0
66,2,29.11653077714537,1
52,17,58.88124023820319,0
65,4,93.62377449755262,1
53,11,61.66145134673702,1
35,11,69.31997815160668,0
66,18,32.531074957904664,1
56,29,23.49885007039756,1
49,5,28.864636974384563,0
41,1,67.88252605474925,1
40,11,27.600935919384373,0
49,18,50.07943119530491,1
54,4,64.00735523665247,1
29,11,51.092223890387764,1
66,26,33.09470411722412,1
30,26,41.903304601128525,1
40,16,94.26540262788616,1
42,28,74.07858204690842,0
52,16,59.68382709439092,0
58,9,21.01719119895148,1
47,24,99.39323203915761,1
34,22,73.71639479157146,1
66,16,45.353798187595594,1
37,14,90.34149279982705,1
65,11,40.67452962334545,0
42,29,63.52132633462013,1
39,15,70.88566109838601,1
30,23,37.68506971629827,0
36,18,98.27178230404768,0
66,7,79.8553524783198,0
53,20,64.62505804088559,1
29,16,34.44756785402407,1
58,22,24.308656559842092,0
36,4,45.604786601678676,0
29,21,80.25498687307223,1
26,15,41.546503864162005,1
24,5,63.16449763964041,1
45,7,78.23577413845945,1
31,24,28.635497171717148,1
48,17,74.82384128926986,1
69,24,27.349671016803576,1
36,11,97.21037937015973,1
64,14,59.07153040519517,0
33,26,32.05408861679019,0
22,25,47.39069088268372,0
52,8,53.07331594362091,1
29,12,80.65480088612298,1
42,25,79.47390288612874,1
69,14,68.95524042698648,0
38,9,28.474457004679437,1
53,15,32.12554972701389,1
40,6,27.50055365164453,0
33,16,66.173822663004,1
56,22,90.17107532091232,1
62,25,54.70404098038174,1
59,20,32.867853916619694,0
56,21,64.64338601191736,0
31,25,84.94017734925679,1
48,6,79.3369649210344,0
22,13,90.5160623740017,1
52,14,42.232167779909425,1
40,20,35.51630938142199,1
46,6,90.3853188753551,1
60,8,72.60482502224184,1
28,18,44.874314400604334,0
35,15,79.38784404580073,1
64,7,85.20947075842943,1
29,17,69.19825922729059,1
26,26,75.03072879039321,0
27,22,50.020792355413306,1
61,28,63.09565338744313,1
34,17,61.93273365809298,0
55,29,87.84382329046176,0
24,19,87.1971184225746,0
63,6,86.61443754776346,1
30,2,20.882529140997264,0
57,17,79.96363875751106,0
59,26,80.69411120888039,1
26,9,74.27030582841135,1
67,6,80.50117263131621,0
44,16,87.35762971973669,0
19,13,57.62552432814285,0
22,23,60.16401707907577,0
46,2,29.97712455291124,1
54,11,50.83007064378894,0
55,27,71.46921439294275,0
36,12,82.43198209178196,1
25,1,37.376727815296846,1
65,2,31.025831932738832,1
62,4,73.04336036003937,1
18,10,20.150390681992853,1
39,7,34.26980674458639,1
69,25,22.3257104275163,1
34,22,33.350809428389674,1
24,22,34.50554239404042,1
42,11,51.013887580031536,0
62,6,52.186169974924475,1
21,14,89.94099764881902,0
53,23,60.808776999906016,1
23,16,77.8723812489829,1
48,3,28.330988633622994,1
36,28,38.03510043709551,0
61,21,76.23547527829415,1
56,24,24.22431683748225,1
44,12,58.927812979500246,1
27,17,67.94951725303471,1
43,0,68.17165152419848,1
36,15,21.834624901443362,1
56,12,45.76864033833484,1
20,9,70.91925208393232,1
62,11,31.919978891939476,0
30,29,75.63325186624425,1
67,1,79.67401670509396,1
45,22,98.55753523569162,1
37,2,36.78735958851276,0
45,9,86.01045341328921,1
25,1,61.62372615349233,1
58,29,49.877007691533876,1
56,26,29.790140586014235,1
18,22,78.840448519003,1
20,12,38.868607931494964,1
30,12,49.71376014984366,1
45,17,25.003378151789477,0
66,2,84.10935326556152,1
42,26,81.32708191773148,1
50,6,78.689266403385,1
55,13,43.95548083935093,1
23,19,33.87840594127658,1
61,28,71.00426115761837,0
62,29,59.69331072905756,0
49,16,34.26019735237133,0
62,28,74.8729016839891,0
64,29,99.2901145457043,1
38,20,79.777567019363,0
33,11,79.19891093484894,1
38,24,96.02502023444734,1
28,15,36.23490940599218,1
54,23,65.24399719371523,1
53,11,98.37173720271068,1
52,14,33.223528877613965,0
36,24,76.02015675556169,1
37,9,66.86481167775216,0
35,29,66.91832737509657,1
64,24,75.81365020160601,1
58,6,94.36935383005473,0
66,19,82.60655518810704,0
31,4,24.4908882732968,1
32,0,88.21824159005689,1
48,29,38.04330639405861,1
18,16,50.153133178909755,1
20,2,56.93862508899058,0
33,12,58.47248006024557,1
40,13,54.81443194042854,1
28,23,94.98826353726915,1
29,29,76.48152061312197,1
27,17,70.4936516765365,1
49,3,23.987362222635326,1
33,17,92.31306642082997,1
25,29,92.7512153606717,0
55,4,82.41704507440818,1
29,24,20.56233630508953,1
41,15,24.58242008620987,0
45,0,38.01789618147918,1
25,20,30.507952651592536,1
45,13,51.906882376298356,1
53,14,93.80984464702317,0
43,8,57.76483473575986,1
25,14,21.07221011457325,0
67,16,42.61965516630096,1
45,24,23.567592669836923,0
45,23,22.903009809080174,1
54,3,42.057588247644176,1
58,11,42.048987094315635,1
53,26,82.97012820812833,1
44,25,97.98677222248895,1
34,4,49.69656751119986,1
26,28,54.310950308883086,0
50,4,87.58315490288172,1
37,10,41.45112160764107,0
30,27,32.510544352275836,1
45,5,88.24716987229203,0
65,6,23.720046915205238,1
46,23,69.57595521595326,1
30,13,64.95942779734455,1
63,23,47.67363580013554,0
52,10,45.21516168778872,1
23,29,81.7486180945297,1
35,12,26.913968861003717,1
68,1,38.94274474491083,1
22,24,78.59589854704718,1
64,6,63.865646698113935,1
42,19,30.23905668268691,1
19,3,90.57084914256481,1
27,26,51.47582772508733,1
47,7,86.22947002577382,0
67,19,83.01704124221669,0
62,28,69.95403571773824,0
22,21,59.55849050360744,0
50,20,98.36406723054056,1
18,18,31.597205790385363,1
35,12,78.01245820408919,0
49,13,35.29525611718312,1
64,9,47.061048426587874,0
66,10,44.69589946985562,1
28,1,95.76287901909784,1
38,24,97.38849422306201,1
43,25,34.641235538778176,0
42,8,21.762812823800335,1
39,16,77.60064317304905,1
44,25,53.43919470963875,1
66,2,27.10721960700515,1
30,23,74.70032844616341,1
50,5,63.60844226085597,0
51,4,98.44134576008848,1
58,4,38.19275966891031,1
52,21,52.31823010612386,1
18,14,63.40366427163383,0
38,22,83.33599907626814,1
65,16,63.9070925376047,1
23,8,69.03201286895595,1
45,2,38.09176412719526,1
34,19,87.75349824708479,1
22,25,54.29044375763806,0
48,16,31.27677020174154,1
22,28,73.13503316043338,1
55,26,37.2872362548246,1
20,9,27.805000819143977,1
40,2,88.95895267234178,1
54,17,56.81298115907517,1
54,17,79.9426970156621,0
27,29,43.247004784508405,1
27,16,82.95761079341331,1
36,23,28.954874161722426,1
34,2,48.477869903588214,0
38,2,98.24494543788228,1
31,5,83.5191773094405,1
26,12,59.78047442517506,0
63,23,47.18219772495081,1
18,28,89.77085600179812,0
68,14,63.58782072676125,1
62,24,80.67400142952889,0
30,8,80.32861442529313,0
21,3,21.435654285479345,1
18,13,30.10030262340908,1
66,4,72.77034931157938,1
57,1,32.92958490286971,0
